,algo,compute_time,false_positives_ratio,noise_ratio,results,seed,true_positives_ratio
63,FINDER_1D_loop,3.156297445297241,0.0,0.0,"{'sigma': 11.175587556260062, 'threshold': 10.0}",10,0.96
64,dbscan,0.014197111129760742,0.0,0.0,[],10,1.0
65,OPTICS,33.76862287521362,0.28,0.0,[],10,0.8
66,CAML_87B144,13.838564157485962,0.08,0.5,[],0,1.0
67,CAML_07VEJJ,7.785116195678711,0.76,0.5,[],0,0.68
68,FINDER_1D,4.655820846557617,0.16,0.5,"{'sigma': 8.11580861800461, 'threshold': 10.0}",0,0.96
69,FINDER_1D_loop,4.151683330535889,0.0,0.5,"{'sigma': 14.762140362224216, 'threshold': 10.0}",0,1.0
70,dbscan,0.01826167106628418,0.04,0.5,[],0,1.0
71,OPTICS,37.946250677108765,0.28,0.5,[],0,0.72
72,CAML_87B144,13.394243955612183,0.0,0.5,[],1,1.0
73,CAML_07VEJJ,8.190948724746704,0.72,0.5,[],1,0.64
74,FINDER_1D,3.70007586479187,0.04,0.5,"{'sigma': 10.850148143536973, 'threshold': 10.0}",1,1.0
75,FINDER_1D_loop,3.727078437805176,0.0,0.5,"{'sigma': 13.782192941991159, 'threshold': 10.0}",1,1.0
76,dbscan,0.014086246490478516,0.0,0.5,[],1,1.0
77,OPTICS,39.77499747276306,0.16,0.5,[],1,0.84
78,CAML_87B144,15.21779465675354,0.12,0.5,[],2,1.0
79,CAML_07VEJJ,8.882064819335938,1.0,0.5,[],2,0.6
80,FINDER_1D,4.8640217781066895,0.08,0.5,"{'sigma': 8.830175572497014, 'threshold': 10.0}",2,1.0
81,FINDER_1D_loop,4.579876184463501,0.0,0.5,"{'sigma': 12.672936857322247, 'threshold': 10.0}",2,1.0
82,dbscan,0.019209623336791992,0.08,0.5,[],2,1.0
83,OPTICS,42.79299712181091,0.28,0.5,[],2,0.76
84,CAML_87B144,17.015317916870117,0.08,0.5,[],3,1.0
85,CAML_07VEJJ,9.025217533111572,1.24,0.5,[],3,0.44
86,FINDER_1D,5.047727108001709,0.0,0.5,"{'sigma': 10.547989017589195, 'threshold': 10.0}",3,1.0
87,FINDER_1D_loop,5.116647005081177,0.0,0.5,"{'sigma': 13.15504175938046, 'threshold': 10.0}",3,1.0
88,dbscan,0.019646167755126953,0.0,0.5,[],3,1.0
89,OPTICS,46.02546453475952,0.12,0.5,[],3,0.84
90,CAML_87B144,16.007086277008057,0.2,0.5,[],4,0.96
91,CAML_07VEJJ,9.455617189407349,0.72,0.5,[],4,0.68
92,FINDER_1D,4.739419460296631,0.12,0.5,"{'sigma': 8.73519067355674, 'threshold': 10.0}",4,1.0
93,FINDER_1D_loop,5.063772201538086,0.0,0.5,"{'sigma': 12.61977045587986, 'threshold': 10.0}",4,1.0
94,dbscan,0.01959061622619629,0.0,0.5,[],4,1.0
95,OPTICS,44.41837430000305,0.16,0.5,[],4,0.84
96,CAML_87B144,15.141940355300903,0.08,0.5,[],5,1.0
97,CAML_07VEJJ,9.261586666107178,0.6,0.5,[],5,0.72
98,FINDER_1D,3.922207832336426,0.0,0.5,"{'sigma': 10.088444142489132, 'threshold': 10.0}",5,1.0
99,FINDER_1D_loop,3.9855992794036865,0.0,0.5,"{'sigma': 14.68258001936492, 'threshold': 10.0}",5,1.0
100,dbscan,0.01779627799987793,0.0,0.5,[],5,1.0
101,OPTICS,35.453197956085205,0.24,0.5,[],5,0.8
102,CAML_87B144,18.24940538406372,0.2,0.5,[],6,0.96
103,CAML_07VEJJ,10.007382869720459,1.16,0.5,[],6,0.44
104,FINDER_1D,5.417782306671143,0.04,0.5,"{'sigma': 9.310406219851254, 'threshold': 10.0}",6,1.0
105,FINDER_1D_loop,5.327799081802368,0.0,0.5,"{'sigma': 13.472405065494424, 'threshold': 10.0}",6,1.0
106,dbscan,0.021209001541137695,0.0,0.5,[],6,1.0
107,OPTICS,51.73014450073242,0.2,0.5,[],6,0.8
108,CAML_87B144,16.084312677383423,0.0,0.5,[],7,1.0
109,CAML_07VEJJ,10.187716960906982,0.88,0.5,[],7,0.68
110,FINDER_1D,4.571314811706543,0.0,0.5,"{'sigma': 9.285122088171105, 'threshold': 10.0}",7,1.0
111,FINDER_1D_loop,4.320732831954956,0.0,0.5,"{'sigma': 14.922923029215452, 'threshold': 10.0}",7,1.0
112,dbscan,0.017796993255615234,0.0,0.5,[],7,1.0
113,OPTICS,38.03011083602905,0.2,0.5,[],7,0.84
114,CAML_87B144,17.088499546051025,0.04,0.5,[],8,1.0
115,CAML_07VEJJ,10.87178373336792,1.0,0.5,[],8,0.56
116,FINDER_1D,5.011894941329956,0.04,0.5,"{'sigma': 9.226569411792894, 'threshold': 10.0}",8,1.0
117,FINDER_1D_loop,4.795765399932861,0.08,0.5,"{'sigma': 11.599899650362433, 'threshold': 10.0}",8,0.92
118,dbscan,0.01968073844909668,0.0,0.5,[],8,1.0
119,OPTICS,44.99822425842285,0.16,0.5,[],8,0.84
120,CAML_87B144,18.943435430526733,0.04,0.5,[],9,1.0
121,CAML_07VEJJ,10.76742434501648,1.28,0.5,[],9,0.36
122,FINDER_1D,5.24642014503479,0.0,0.5,"{'sigma': 8.124830459960394, 'threshold': 10.0}",9,1.0
123,FINDER_1D_loop,5.862401247024536,0.0,0.5,"{'sigma': 10.37483638102888, 'threshold': 10.0}",9,1.0
124,dbscan,0.0252077579498291,0.0,0.5,[],9,1.0
125,OPTICS,57.9644079208374,0.4,0.5,[],9,0.68
126,CAML_87B144,18.757556915283203,0.16,0.5,[],10,1.0
127,CAML_07VEJJ,11.097164630889893,1.4,0.5,[],10,0.4
128,FINDER_1D,6.09608006477356,0.08,0.5,"{'sigma': 8.962684969436248, 'threshold': 10.0}",10,1.0
129,FINDER_1D_loop,5.516684055328369,0.0,0.5,"{'sigma': 11.237677226494336, 'threshold': 10.0}",10,1.0
130,dbscan,0.02198338508605957,0.08,0.5,[],10,1.0
131,OPTICS,58.71905016899109,0.48,0.5,[],10,0.6
132,CAML_87B144,21.154004096984863,0.12,1.0,[],0,0.96
133,CAML_07VEJJ,11.474438905715942,0.8,1.0,[],0,0.6
134,FINDER_1D,7.192641973495483,0.52,1.0,"{'sigma': 7.7729241605510815, 'threshold': 10.0}",0,0.92
135,FINDER_1D_loop,6.4923036098480225,0.04,1.0,"{'sigma': 11.61201297817051, 'threshold': 10.0}",0,0.92
136,dbscan,0.023088693618774414,0.28,1.0,[],0,1.0
137,OPTICS,63.689109802246094,0.2,1.0,[],0,0.56
138,CAML_87B144,20.531505346298218,0.08,1.0,[],1,0.96
139,CAML_07VEJJ,11.920900583267212,0.76,1.0,[],1,0.6
140,FINDER_1D,6.412299871444702,0.92,1.0,"{'sigma': 13.514696925614743, 'threshold': 10.0}",1,1.0
141,FINDER_1D_loop,5.656550884246826,0.0,1.0,"{'sigma': 13.514696925614743, 'threshold': 10.0}",1,1.0
142,dbscan,0.02055072784423828,0.08,1.0,[],1,1.0
143,OPTICS,52.808258056640625,0.12,1.0,[],1,0.72
144,CAML_87B144,22.576231718063354,0.08,1.0,[],2,0.96
145,CAML_07VEJJ,12.351435422897339,1.52,1.0,[],2,0.44
146,FINDER_1D,8.595309257507324,0.6,1.0,"{'sigma': 11.263635799653608, 'threshold': 10.0}",2,1.0
147,FINDER_1D_loop,6.585760831832886,0.0,1.0,"{'sigma': 12.457073604963169, 'threshold': 10.0}",2,1.0
148,dbscan,0.02463364601135254,0.48,1.0,[],2,1.0
149,OPTICS,72.51762652397156,0.28,1.0,[],2,0.64
150,CAML_87B144,22.1747145652771,0.04,1.0,[],3,1.0
151,CAML_07VEJJ,12.886228799819946,1.04,1.0,[],3,0.44
152,FINDER_1D,8.417400598526001,0.48,1.0,"{'sigma': 7.319259372745535, 'threshold': 10.0}",3,0.96
153,FINDER_1D_loop,7.403512477874756,0.0,1.0,"{'sigma': 10.558994964598703, 'threshold': 10.0}",3,0.96
154,dbscan,0.0253298282623291,0.2,1.0,[],3,1.0
155,OPTICS,75.73458480834961,0.12,1.0,[],3,0.44
156,CAML_87B144,22.183059453964233,0.16,1.0,[],4,0.96
157,CAML_07VEJJ,13.268158912658691,1.0,1.0,[],4,0.56
158,FINDER_1D,7.590800046920776,0.48,1.0,"{'sigma': 11.09590092639636, 'threshold': 10.0}",4,1.0
159,FINDER_1D_loop,6.9857683181762695,0.0,1.0,"{'sigma': 10.010665887400272, 'threshold': 10.0}",4,0.96
160,dbscan,0.025075674057006836,0.16,1.0,[],4,1.0
161,OPTICS,75.36739611625671,0.24,1.0,[],4,0.64
162,CAML_87B144,21.12952184677124,0.12,1.0,[],5,1.0
163,CAML_07VEJJ,13.22816514968872,0.68,1.0,[],5,0.68
164,FINDER_1D,6.44233775138855,0.76,1.0,"{'sigma': 13.00731110911934, 'threshold': 10.0}",5,1.0
165,FINDER_1D_loop,5.682528257369995,0.0,1.0,"{'sigma': 10.56449796094618, 'threshold': 10.0}",5,0.92
166,dbscan,0.022136211395263672,0.08,1.0,[],5,1.0
167,OPTICS,59.13610649108887,0.24,1.0,[],5,0.76
168,CAML_87B144,23.826802730560303,0.2,1.0,[],6,0.92
169,CAML_07VEJJ,13.759290218353271,1.4,1.0,[],6,0.36
170,FINDER_1D,10.566423416137695,0.96,1.0,"{'sigma': 11.734757846824982, 'threshold': 10.0}",6,1.0
171,FINDER_1D_loop,8.294665813446045,0.0,1.0,"{'sigma': 12.982829791631776, 'threshold': 10.0}",6,1.0
172,dbscan,0.027256250381469727,0.68,1.0,[],6,1.0
173,OPTICS,85.8516914844513,0.36,1.0,[],6,0.44
174,CAML_87B144,23.49923586845398,0.2,1.0,[],7,1.0
175,CAML_07VEJJ,13.634239196777344,1.04,1.0,[],7,0.52
176,FINDER_1D,7.04682993888855,0.12,1.0,"{'sigma': 8.841978819700518, 'threshold': 10.0}",7,1.0
177,FINDER_1D_loop,6.659679174423218,0.0,1.0,"{'sigma': 11.865136462383978, 'threshold': 10.0}",7,1.0
178,dbscan,0.023076534271240234,0.24,1.0,[],7,1.0
179,OPTICS,63.45101976394653,0.08,1.0,[],7,0.8
180,CAML_87B144,24.220903873443604,0.2,1.0,[],8,0.96
181,CAML_07VEJJ,14.225801944732666,1.24,1.0,[],8,0.44
182,FINDER_1D,8.20053243637085,1.24,1.0,"{'sigma': 12.558749617914112, 'threshold': 10.0}",8,1.0
183,FINDER_1D_loop,7.008601188659668,0.0,1.0,"{'sigma': 11.41173134731085, 'threshold': 10.0}",8,0.92
184,dbscan,0.02482151985168457,0.28,1.0,[],8,1.0
185,OPTICS,74.68464779853821,0.28,1.0,[],8,0.56
186,CAML_87B144,25.588610410690308,0.12,1.0,[],9,1.0
187,CAML_07VEJJ,15.376417875289917,1.4,1.0,[],9,0.32
188,FINDER_1D,10.303673505783081,0.92,1.0,"{'sigma': 11.436521768093534, 'threshold': 10.0}",9,1.0
189,FINDER_1D_loop,8.22804880142212,0.04,1.0,"{'sigma': 9.347714474935705, 'threshold': 10.0}",9,0.96
190,dbscan,0.030375957489013672,0.44,1.0,[],9,1.0
191,OPTICS,97.89605379104614,0.48,1.0,[],9,0.52
192,CAML_87B144,25.499671459197998,0.16,1.0,[],10,1.0
