,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
66,15,CAML_87B144,6.24139404296875,0.0,[],0,0.0
67,15,CAML_07VEJJ,5.568862199783325,0.0,[],0,0.7333333333333333
68,15,FINDER_1D,0.3230147361755371,0.0,"{'sigma': 47.20170660580061, 'threshold': 10.0}",0,0.8666666666666667
69,15,FINDER_1D_loop,0.38041019439697266,0.0,"{'sigma': 87.70297404207463, 'threshold': 10.0}",0,0.5333333333333333
70,15,dbscan,0.0019683837890625,0.0,[],0,0.0
71,15,OPTICS,1.7229337692260742,0.0,[],0,0.4666666666666667
72,15,CAML_87B144,6.794234752655029,0.06666666666666667,[],1,0.06666666666666667
73,15,CAML_07VEJJ,5.910883188247681,0.2,[],1,0.8
74,15,FINDER_1D,0.21067190170288086,0.0,"{'sigma': 63.141428730686556, 'threshold': 10.0}",1,0.7333333333333333
75,15,FINDER_1D_loop,0.24135327339172363,0.0,"{'sigma': 78.66812873748033, 'threshold': 10.0}",1,0.4666666666666667
76,15,dbscan,0.00199127197265625,0.0,[],1,0.0
77,15,OPTICS,1.230133295059204,0.0,[],1,0.4666666666666667
78,15,CAML_87B144,7.432084560394287,0.4666666666666667,[],2,0.26666666666666666
79,15,CAML_07VEJJ,6.43519926071167,0.06666666666666667,[],2,0.6666666666666666
80,15,FINDER_1D,0.2304067611694336,0.0,"{'sigma': 59.573876404619064, 'threshold': 10.0}",2,0.6666666666666666
81,15,FINDER_1D_loop,0.30299997329711914,0.0,"{'sigma': 66.69170853785303, 'threshold': 10.0}",2,0.5333333333333333
82,15,dbscan,0.002273082733154297,0.0,[],2,0.0
83,15,OPTICS,1.7883155345916748,0.0,[],2,0.4666666666666667
84,15,CAML_87B144,7.524397134780884,0.13333333333333333,[],3,0.2
85,15,CAML_07VEJJ,6.583516836166382,0.06666666666666667,[],3,0.7333333333333333
86,15,FINDER_1D,0.3131294250488281,0.06666666666666667,"{'sigma': 52.2339164479674, 'threshold': 10.0}",3,0.9333333333333333
87,15,FINDER_1D_loop,0.35669755935668945,0.0,"{'sigma': 58.12097460047462, 'threshold': 10.0}",3,0.6666666666666666
88,15,dbscan,0.002109527587890625,0.0,[],3,0.0
89,15,OPTICS,1.6173083782196045,0.0,[],3,0.6666666666666666
90,15,CAML_87B144,7.495495557785034,0.0,[],4,0.0
91,15,CAML_07VEJJ,6.8851728439331055,0.13333333333333333,[],4,0.8
92,15,FINDER_1D,0.2258152961730957,0.0,"{'sigma': 57.472805907473436, 'threshold': 10.0}",4,0.6
93,15,FINDER_1D_loop,0.27018022537231445,0.0,"{'sigma': 77.71150540859634, 'threshold': 10.0}",4,0.5333333333333333
94,15,dbscan,0.0017910003662109375,0.0,[],4,0.0
95,15,OPTICS,1.1642777919769287,0.0,[],4,0.4666666666666667
96,15,CAML_87B144,7.759640216827393,0.0,[],5,0.0
97,15,CAML_07VEJJ,7.420426607131958,0.0,[],5,0.8
98,15,FINDER_1D,0.23610782623291016,0.06666666666666667,"{'sigma': 68.58524527835282, 'threshold': 10.0}",5,0.6666666666666666
99,15,FINDER_1D_loop,0.3215029239654541,0.0,"{'sigma': 68.58524527835282, 'threshold': 10.0}",5,0.6
100,15,dbscan,0.0019867420196533203,0.0,[],5,0.0
101,15,OPTICS,1.4122624397277832,0.0,[],5,0.4
102,15,CAML_87B144,8.704919338226318,0.0,[],6,0.06666666666666667
103,15,CAML_07VEJJ,7.706985712051392,0.13333333333333333,[],6,0.7333333333333333
104,15,FINDER_1D,0.25104856491088867,0.0,"{'sigma': 50.03534373072981, 'threshold': 10.0}",6,0.8
105,15,FINDER_1D_loop,0.2857210636138916,0.0,"{'sigma': 55.384819513062546, 'threshold': 10.0}",6,0.6666666666666666
106,15,dbscan,0.0020966529846191406,0.0,[],6,0.0
107,15,OPTICS,1.3984270095825195,0.0,[],6,0.4666666666666667
108,15,CAML_87B144,9.154965877532959,0.4,[],7,0.4666666666666667
109,15,CAML_07VEJJ,8.236073970794678,0.06666666666666667,[],7,0.7333333333333333
110,15,FINDER_1D,0.21508455276489258,0.0,"{'sigma': 55.43141991076534, 'threshold': 10.0}",7,0.8
111,15,FINDER_1D_loop,0.2573699951171875,0.0,"{'sigma': 68.7907354726082, 'threshold': 10.0}",7,0.6
112,15,dbscan,0.0019466876983642578,0.0,[],7,0.0
