,algo,compute_time,false_positives_ratio,noise_ratio,results,seed,true_positives_ratio
0,CAML_87B144,7.474268198013306,0.08,0.0,[],0,0.96
1,CAML_07VEJJ,2.292827844619751,0.0,0.0,[],0,0.88
2,FINDER_1D,0.23738670349121094,0.0,0.0,"{'sigma': 93.0349744446522, 'threshold': 10.0}",0,0.76
3,FINDER_1D_loop,0.21498847007751465,0.0,0.0,"{'sigma': 93.0349744446522, 'threshold': 10.0}",0,0.72
4,dbscan,0.0014040470123291016,0.0,0.0,[],0,0.0
5,OPTICS,0.8481955528259277,0.0,0.0,[],0,0.16
6,CAML_87B144,2.7592859268188477,0.0,0.0,[],1,0.96
7,CAML_07VEJJ,2.343726634979248,0.0,0.0,[],1,0.96
8,FINDER_1D,0.2563316822052002,0.0,0.0,"{'sigma': 84.91827327379846, 'threshold': 10.0}",1,0.76
9,FINDER_1D_loop,0.22197484970092773,0.0,0.0,"{'sigma': 84.91827327379846, 'threshold': 10.0}",1,0.64
10,dbscan,0.0012423992156982422,0.0,0.0,[],1,0.0
11,OPTICS,0.5907571315765381,0.0,0.0,[],1,0.12
12,CAML_87B144,3.2388932704925537,0.2,0.0,[],2,0.96
13,CAML_07VEJJ,2.6930484771728516,0.0,0.0,[],2,0.92
14,FINDER_1D,0.2611703872680664,0.0,0.0,"{'sigma': 90.440678630029, 'threshold': 10.0}",2,0.8
15,FINDER_1D_loop,0.25301313400268555,0.0,0.0,"{'sigma': 102.62504635567733, 'threshold': 10.0}",2,0.76
16,dbscan,0.0014944076538085938,0.0,0.0,[],2,0.0
17,OPTICS,0.7962596416473389,0.0,0.0,[],2,0.12
18,CAML_87B144,3.6169071197509766,0.08,0.0,[],3,1.0
19,CAML_07VEJJ,2.9458436965942383,0.0,0.0,[],3,0.92
20,FINDER_1D,0.3122522830963135,0.0,0.0,"{'sigma': 70.00872991416105, 'threshold': 10.0}",3,0.8
21,FINDER_1D_loop,0.3040497303009033,0.0,0.0,"{'sigma': 100.26832176915923, 'threshold': 10.0}",3,0.76
22,dbscan,0.0013763904571533203,0.0,0.0,[],3,0.0
23,OPTICS,0.926443338394165,0.0,0.0,[],3,0.2
24,CAML_87B144,3.3126866817474365,0.0,0.0,[],4,0.0
25,CAML_07VEJJ,3.3671374320983887,0.04,0.0,[],4,0.92
26,FINDER_1D,0.2965385913848877,0.0,0.0,"{'sigma': 76.8358798780153, 'threshold': 10.0}",4,0.8
27,FINDER_1D_loop,0.27002859115600586,0.0,0.0,"{'sigma': 86.95549565645723, 'threshold': 10.0}",4,0.72
28,dbscan,0.0015747547149658203,0.0,0.0,[],4,0.0
29,OPTICS,1.0804345607757568,0.0,0.0,[],4,0.28
30,CAML_87B144,3.6986093521118164,0.0,0.0,[],5,0.0
31,CAML_07VEJJ,3.369400978088379,0.0,0.0,[],5,0.84
32,FINDER_1D,0.2950403690338135,0.0,0.0,"{'sigma': 89.0923145923452, 'threshold': 10.0}",5,0.72
33,FINDER_1D_loop,0.28304219245910645,0.0,0.0,"{'sigma': 89.0923145923452, 'threshold': 10.0}",5,0.72
34,dbscan,0.001661539077758789,0.0,0.0,[],5,0.0
35,OPTICS,1.2842628955841064,0.0,0.0,[],5,0.36
36,CAML_87B144,3.9133188724517822,0.0,0.0,[],6,0.0
37,CAML_07VEJJ,3.874654769897461,0.0,0.0,[],6,0.88
38,FINDER_1D,0.24628829956054688,0.0,0.0,"{'sigma': 89.85482359878328, 'threshold': 10.0}",6,0.72
39,FINDER_1D_loop,0.2185955047607422,0.0,0.0,"{'sigma': 89.85482359878328, 'threshold': 10.0}",6,0.72
40,dbscan,0.0016133785247802734,0.0,0.0,[],6,0.0
41,OPTICS,0.8322093486785889,0.0,0.0,[],6,0.12
42,CAML_87B144,4.342057704925537,0.0,0.0,[],7,0.0
43,CAML_07VEJJ,4.171265125274658,0.0,0.0,[],7,0.92
44,FINDER_1D,0.24810171127319336,0.0,0.0,"{'sigma': 80.37561188513304, 'threshold': 10.0}",7,0.72
45,FINDER_1D_loop,0.2463977336883545,0.0,0.0,"{'sigma': 80.37561188513304, 'threshold': 10.0}",7,0.68
46,dbscan,0.0015292167663574219,0.0,0.0,[],7,0.0
47,OPTICS,0.9128754138946533,0.0,0.0,[],7,0.24
48,CAML_87B144,5.101307392120361,0.32,0.0,[],8,0.96
49,CAML_07VEJJ,4.548482656478882,0.0,0.0,[],8,0.96
50,FINDER_1D,0.32119059562683105,0.0,0.0,"{'sigma': 83.41307236712994, 'threshold': 10.0}",8,0.84
51,FINDER_1D_loop,0.28919386863708496,0.0,0.0,"{'sigma': 83.41307236712994, 'threshold': 10.0}",8,0.84
52,dbscan,0.001600503921508789,0.0,0.0,[],8,0.0
53,OPTICS,1.0635781288146973,0.0,0.0,[],8,0.24
54,CAML_87B144,5.563920497894287,0.24,0.0,[],9,1.0
55,CAML_07VEJJ,4.959030389785767,0.04,0.0,[],9,0.96
56,FINDER_1D,0.3316798210144043,0.0,0.0,"{'sigma': 86.17487055495627, 'threshold': 10.0}",9,0.84
57,FINDER_1D_loop,0.2869079113006592,0.0,0.0,"{'sigma': 86.17487055495627, 'threshold': 10.0}",9,0.72
58,dbscan,0.001552581787109375,0.0,0.0,[],9,0.0
59,OPTICS,1.0512592792510986,0.0,0.0,[],9,0.2
60,CAML_87B144,5.839590311050415,0.08,0.0,[],10,1.0
61,CAML_07VEJJ,5.269842863082886,0.0,0.0,[],10,1.0
62,FINDER_1D,0.35344481468200684,0.0,0.0,"{'sigma': 85.87812794256618, 'threshold': 10.0}",10,0.92
63,FINDER_1D_loop,0.24418306350708008,0.0,0.0,"{'sigma': 85.87812794256618, 'threshold': 10.0}",10,0.88
64,dbscan,0.0014908313751220703,0.0,0.0,[],10,0.0
65,OPTICS,1.0028793811798096,0.0,0.0,[],10,0.2
66,CAML_87B144,6.570342779159546,0.28,0.5,[],0,0.4
67,CAML_07VEJJ,5.840149879455566,0.04,0.5,[],0,0.76
68,FINDER_1D,0.554304838180542,0.0,0.5,"{'sigma': 65.3622823144782, 'threshold': 10.0}",0,0.92
69,FINDER_1D_loop,0.38301801681518555,0.0,0.5,"{'sigma': 65.3622823144782, 'threshold': 10.0}",0,0.64
70,dbscan,0.0020623207092285156,0.0,0.5,[],0,0.0
71,OPTICS,1.330134391784668,0.0,0.5,[],0,0.32
72,CAML_87B144,6.385173797607422,0.0,0.5,[],1,0.0
73,CAML_07VEJJ,6.2349607944488525,0.04,0.5,[],1,0.88
74,FINDER_1D,0.48825550079345703,0.0,0.5,"{'sigma': 71.66792733412495, 'threshold': 10.0}",1,1.0
75,FINDER_1D_loop,0.38015151023864746,0.0,0.5,"{'sigma': 77.5732839048528, 'threshold': 10.0}",1,0.84
76,dbscan,0.0019664764404296875,0.0,0.5,[],1,0.0
77,OPTICS,1.0729339122772217,0.0,0.5,[],1,0.44
78,CAML_87B144,6.774783611297607,0.0,0.5,[],2,0.0
79,CAML_07VEJJ,6.7623279094696045,0.04,0.5,[],2,0.76
80,FINDER_1D,0.5098836421966553,0.0,0.5,"{'sigma': 58.12902114047977, 'threshold': 10.0}",2,0.92
81,FINDER_1D_loop,0.4071340560913086,0.0,0.5,"{'sigma': 68.3020598346576, 'threshold': 10.0}",2,0.8
82,dbscan,0.0017859935760498047,0.0,0.5,[],2,0.0
83,OPTICS,1.4259023666381836,0.0,0.5,[],2,0.36
84,CAML_87B144,7.309404134750366,0.0,0.5,[],3,0.0
85,CAML_07VEJJ,7.211534261703491,0.0,0.5,[],3,0.88
86,FINDER_1D,0.5971729755401611,0.0,0.5,"{'sigma': 56.89949592221215, 'threshold': 10.0}",3,0.96
87,FINDER_1D_loop,0.44907402992248535,0.0,0.5,"{'sigma': 72.4269712998121, 'threshold': 10.0}",3,0.88
88,dbscan,0.001898050308227539,0.0,0.5,[],3,0.0
89,OPTICS,1.5263829231262207,0.0,0.5,[],3,0.56
90,CAML_87B144,7.272818326950073,0.0,0.5,[],4,0.0
91,CAML_07VEJJ,7.237782955169678,0.08,0.5,[],4,0.84
92,FINDER_1D,0.6063270568847656,0.0,0.5,"{'sigma': 66.98309500115074, 'threshold': 10.0}",4,1.0
93,FINDER_1D_loop,0.4723641872406006,0.0,0.5,"{'sigma': 72.66835705185092, 'threshold': 10.0}",4,0.84
94,dbscan,0.0020530223846435547,0.0,0.5,[],4,0.0
95,OPTICS,1.6705329418182373,0.0,0.5,[],4,0.48
96,CAML_87B144,8.725453853607178,0.16,0.5,[],5,0.48
97,CAML_07VEJJ,7.8459460735321045,0.0,0.5,[],5,0.76
98,FINDER_1D,0.5730390548706055,0.0,0.5,"{'sigma': 59.752269570383845, 'threshold': 10.0}",5,0.96
99,FINDER_1D_loop,0.4016876220703125,0.0,0.5,"{'sigma': 65.18151355951406, 'threshold': 10.0}",5,0.64
100,dbscan,0.00197601318359375,0.0,0.5,[],5,0.0
101,OPTICS,1.8573565483093262,0.0,0.5,[],5,0.56
102,CAML_87B144,8.596113204956055,0.4,0.5,[],6,0.4
103,CAML_07VEJJ,8.127027034759521,0.0,0.5,[],6,0.84
104,FINDER_1D,0.5461764335632324,0.0,0.5,"{'sigma': 63.06383625091966, 'threshold': 10.0}",6,0.96
105,FINDER_1D_loop,0.4300730228424072,0.0,0.5,"{'sigma': 74.38527400514234, 'threshold': 10.0}",6,0.84
106,dbscan,0.0018451213836669922,0.0,0.5,[],6,0.0
107,OPTICS,1.3405845165252686,0.0,0.5,[],6,0.44
108,CAML_87B144,9.41383409500122,0.76,0.5,[],7,0.4
109,CAML_07VEJJ,8.275322914123535,0.04,0.5,[],7,0.8
110,FINDER_1D,0.4885268211364746,0.0,0.5,"{'sigma': 58.57164505129054, 'threshold': 10.0}",7,0.84
111,FINDER_1D_loop,0.42594265937805176,0.0,0.5,"{'sigma': 63.624713842884574, 'threshold': 10.0}",7,0.72
112,dbscan,0.0021555423736572266,0.0,0.5,[],7,0.0
113,OPTICS,1.553825855255127,0.0,0.5,[],7,0.56
114,CAML_87B144,9.226754426956177,0.0,0.5,[],8,0.36
115,CAML_07VEJJ,8.447945833206177,0.04,0.5,[],8,0.84
116,FINDER_1D,0.48809313774108887,0.0,0.5,"{'sigma': 56.11862456611353, 'threshold': 10.0}",8,0.96
