,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
0,1.5,CAML_87B144,6.776686429977417,0.0,[],0,0.0
1,1.5,CAML_07VEJJ,2.3399317264556885,0.04,[],0,0.92
2,1.5,FINDER_1D,0.4118688106536865,0.0,"{'sigma': 85.3990730743565, 'threshold': 10.0}",0,0.92
3,1.5,FINDER_1D_loop,0.3123898506164551,0.0,"{'sigma': 85.3990730743565, 'threshold': 10.0}",0,0.76
4,1.5,dbscan,0.0014317035675048828,0.0,[],0,0.0
5,1.5,OPTICS,1.1205666065216064,0.0,[],0,0.24
6,1.5,CAML_87B144,2.938765287399292,0.0,[],1,0.76
7,1.5,CAML_07VEJJ,2.5830116271972656,0.04,[],1,0.88
8,1.5,FINDER_1D,0.5115597248077393,0.0,"{'sigma': 81.82786371934047, 'threshold': 10.0}",1,0.96
9,1.5,FINDER_1D_loop,0.3181018829345703,0.0,"{'sigma': 81.82786371934047, 'threshold': 10.0}",1,0.76
10,1.5,dbscan,0.0018036365509033203,0.0,[],1,0.0
11,1.5,OPTICS,0.9160735607147217,0.0,[],1,0.24
12,1.5,CAML_87B144,2.881526231765747,0.0,[],2,0.0
13,1.5,CAML_07VEJJ,2.856135129928589,0.0,[],2,0.84
14,1.5,FINDER_1D,0.5369336605072021,0.0,"{'sigma': 72.4642680775271, 'threshold': 10.0}",2,0.92
15,1.5,FINDER_1D_loop,0.32930850982666016,0.0,"{'sigma': 86.9980814039279, 'threshold': 10.0}",2,0.8
16,1.5,dbscan,0.0014307498931884766,0.0,[],2,0.0
17,1.5,OPTICS,1.1894843578338623,0.0,[],2,0.32
18,1.5,CAML_87B144,3.709427833557129,0.12,[],3,0.88
19,1.5,CAML_07VEJJ,3.126685380935669,0.0,[],3,0.88
20,1.5,FINDER_1D,0.5311541557312012,0.0,"{'sigma': 69.97883628859192, 'threshold': 10.0}",3,0.96
21,1.5,FINDER_1D_loop,0.35918450355529785,0.0,"{'sigma': 76.26149869139128, 'threshold': 10.0}",3,0.8
22,1.5,dbscan,0.0016355514526367188,0.0,[],3,0.0
23,1.5,OPTICS,1.040449619293213,0.0,[],3,0.36
24,1.5,CAML_87B144,3.5481951236724854,0.0,[],4,0.0
25,1.5,CAML_07VEJJ,3.3134872913360596,0.0,[],4,0.88
26,1.5,FINDER_1D,0.46885132789611816,0.0,"{'sigma': 77.17598319785758, 'threshold': 10.0}",4,0.92
27,1.5,FINDER_1D_loop,0.39665699005126953,0.0,"{'sigma': 77.17598319785758, 'threshold': 10.0}",4,0.76
28,1.5,dbscan,0.0018677711486816406,0.0,[],4,0.0
29,1.5,OPTICS,1.190666675567627,0.0,[],4,0.4
30,1.5,CAML_87B144,3.8310599327087402,0.0,[],5,0.0
31,1.5,CAML_07VEJJ,3.5872802734375,0.0,[],5,0.8
32,1.5,FINDER_1D,0.465252161026001,0.0,"{'sigma': 77.30397354265261, 'threshold': 10.0}",5,0.84
33,1.5,FINDER_1D_loop,0.32395505905151367,0.0,"{'sigma': 77.30397354265261, 'threshold': 10.0}",5,0.6
34,1.5,dbscan,0.001855611801147461,0.0,[],5,0.0
35,1.5,OPTICS,1.2558560371398926,0.0,[],5,0.44
36,1.5,CAML_87B144,4.4043943881988525,0.0,[],6,0.84
37,1.5,CAML_07VEJJ,3.936769485473633,0.0,[],6,0.92
38,1.5,FINDER_1D,0.5350034236907959,0.0,"{'sigma': 78.81523650253091, 'threshold': 10.0}",6,0.96
39,1.5,FINDER_1D_loop,0.3459594249725342,0.0,"{'sigma': 85.92165074256833, 'threshold': 10.0}",6,0.8
40,1.5,dbscan,0.0014646053314208984,0.0,[],6,0.0
41,1.5,OPTICS,1.1404592990875244,0.0,[],6,0.36
42,1.5,CAML_87B144,4.56568169593811,0.0,[],7,0.0
43,1.5,CAML_07VEJJ,4.230180501937866,0.0,[],7,0.84
44,1.5,FINDER_1D,0.4165003299713135,0.0,"{'sigma': 76.51250027102611, 'threshold': 10.0}",7,0.84
45,1.5,FINDER_1D_loop,0.316054105758667,0.0,"{'sigma': 76.51250027102611, 'threshold': 10.0}",7,0.68
46,1.5,dbscan,0.0016226768493652344,0.0,[],7,0.0
47,1.5,OPTICS,1.0350191593170166,0.0,[],7,0.36
48,1.5,CAML_87B144,5.268026351928711,0.48,[],8,0.88
49,1.5,CAML_07VEJJ,4.643034934997559,0.0,[],8,0.88
50,1.5,FINDER_1D,0.5065314769744873,0.0,"{'sigma': 59.78032526876825, 'threshold': 10.0}",8,0.92
51,1.5,FINDER_1D_loop,0.39546799659729004,0.0,"{'sigma': 78.52086589526688, 'threshold': 10.0}",8,0.72
52,1.5,dbscan,0.0016820430755615234,0.0,[],8,0.0
53,1.5,OPTICS,1.159449815750122,0.0,[],8,0.44
54,1.5,CAML_87B144,5.0826942920684814,0.0,[],9,0.0
55,1.5,CAML_07VEJJ,5.244534730911255,0.0,[],9,0.96
56,1.5,FINDER_1D,0.5700969696044922,0.0,"{'sigma': 73.58879461428124, 'threshold': 10.0}",9,0.96
57,1.5,FINDER_1D_loop,0.4371194839477539,0.0,"{'sigma': 80.32158078841104, 'threshold': 10.0}",9,0.88
58,1.5,dbscan,0.0017685890197753906,0.0,[],9,0.0
59,1.5,OPTICS,1.2235627174377441,0.0,[],9,0.4
60,1.5,CAML_87B144,5.997054100036621,0.16,[],10,0.84
61,1.5,CAML_07VEJJ,5.239004373550415,0.0,[],10,0.92
62,1.5,FINDER_1D,0.6209557056427002,0.0,"{'sigma': 66.81247434799609, 'threshold': 10.0}",10,0.96
63,1.5,FINDER_1D_loop,0.4131777286529541,0.0,"{'sigma': 66.81247434799609, 'threshold': 10.0}",10,0.76
64,1.5,dbscan,0.001789093017578125,0.0,[],10,0.0
65,1.5,OPTICS,1.091857671737671,0.0,[],10,0.56
66,1.25,CAML_87B144,5.69263482093811,0.0,[],0,0.0
67,1.25,CAML_07VEJJ,5.4868223667144775,0.0,[],0,0.8
68,1.25,FINDER_1D,0.3899660110473633,0.0,"{'sigma': 62.14376668955738, 'threshold': 10.0}",0,0.88
69,1.25,FINDER_1D_loop,0.28263425827026367,0.0,"{'sigma': 67.21536718756283, 'threshold': 10.0}",0,0.56
70,1.25,dbscan,0.0014336109161376953,0.0,[],0,0.0
71,1.25,OPTICS,1.2404921054840088,0.0,[],0,0.24
72,1.25,CAML_87B144,6.52835750579834,0.0,[],1,0.68
73,1.25,CAML_07VEJJ,5.912237644195557,0.04,[],1,0.88
74,1.25,FINDER_1D,0.4737226963043213,0.0,"{'sigma': 67.07073499506825, 'threshold': 10.0}",1,0.96
75,1.25,FINDER_1D_loop,0.27985382080078125,0.0,"{'sigma': 72.27955805609493, 'threshold': 10.0}",1,0.68
76,1.25,dbscan,0.001359701156616211,0.0,[],1,0.0
77,1.25,OPTICS,0.9432930946350098,0.0,[],1,0.24
78,1.25,CAML_87B144,6.405198335647583,0.0,[],2,0.0
79,1.25,CAML_07VEJJ,6.411705255508423,0.04,[],2,0.76
