,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
0,10,CAML_87B144,10.631367444992065,0.5,[],0,0.9
1,10,CAML_07VEJJ,3.079240560531616,0.7,[],0,0.6
2,10,FINDER_1D,0.8039035797119141,0.0,"{'sigma': 10.75183877940139, 'threshold': 10.0}",0,0.9
3,10,FINDER_1D_loop,1.1358518600463867,0.0,"{'sigma': 12.562780006208895, 'threshold': 10.0}",0,0.9
4,10,dbscan,0.009261131286621094,0.0,[],0,0.9
5,10,OPTICS,19.321362495422363,0.2,[],0,0.8
6,10,CAML_87B144,8.085440874099731,1.1,[],1,0.9
7,10,CAML_07VEJJ,3.549983024597168,2.1,[],1,0.4
8,10,FINDER_1D,1.0381455421447754,0.0,"{'sigma': 8.1602464101049, 'threshold': 10.0}",1,0.9
9,10,FINDER_1D_loop,1.5904030799865723,0.0,"{'sigma': 13.1564532088339, 'threshold': 10.0}",1,0.9
10,10,dbscan,0.010016679763793945,0.0,[],1,0.9
11,10,OPTICS,22.061564445495605,0.3,[],1,0.7
12,10,CAML_87B144,5.875463485717773,0.5,[],2,0.8
13,10,CAML_07VEJJ,3.3115639686584473,1.0,[],2,0.8
14,10,FINDER_1D,0.662548303604126,0.1,"{'sigma': 17.200039701565743, 'threshold': 10.0}",2,0.8
15,10,FINDER_1D_loop,0.9820151329040527,0.0,"{'sigma': 13.063905408120714, 'threshold': 10.0}",2,0.8
16,10,dbscan,0.0061779022216796875,0.1,[],2,0.8
17,10,OPTICS,18.00358486175537,0.4,[],2,0.7
18,10,CAML_87B144,7.003834247589111,0.4,[],3,1.0
19,10,CAML_07VEJJ,3.88775634765625,1.3,[],3,0.6
20,10,FINDER_1D,0.9335784912109375,0.0,"{'sigma': 9.262347686600593, 'threshold': 10.0}",3,1.0
21,10,FINDER_1D_loop,1.2775874137878418,0.0,"{'sigma': 14.613901844531291, 'threshold': 10.0}",3,1.0
22,10,dbscan,0.008838415145874023,0.0,[],3,1.0
23,10,OPTICS,18.78370428085327,0.1,[],3,0.9
24,10,CAML_87B144,7.007076740264893,0.4,[],4,0.9
25,10,CAML_07VEJJ,4.008778095245361,0.9,[],4,0.7
26,10,FINDER_1D,0.7737200260162354,0.4,"{'sigma': 17.40717925724496, 'threshold': 10.0}",4,0.9
27,10,FINDER_1D_loop,1.2194275856018066,0.0,"{'sigma': 15.044849968027618, 'threshold': 10.0}",4,0.9
28,10,dbscan,0.007925271987915039,0.0,[],4,0.9
29,10,OPTICS,16.223806619644165,0.3,[],4,0.6
30,10,CAML_87B144,7.63507866859436,0.2,[],5,1.0
31,10,CAML_07VEJJ,4.291955947875977,0.8,[],5,0.8
32,10,FINDER_1D,0.7873172760009766,0.0,"{'sigma': 10.620748076851893, 'threshold': 10.0}",5,1.0
33,10,FINDER_1D_loop,1.0078115463256836,0.0,"{'sigma': 14.598766436355195, 'threshold': 10.0}",5,1.0
34,10,dbscan,0.0077075958251953125,0.0,[],5,1.0
35,10,OPTICS,15.109548807144165,0.0,[],5,1.0
36,10,CAML_87B144,8.101266384124756,0.5,[],6,0.9
37,10,CAML_07VEJJ,4.574792385101318,1.0,[],6,1.0
38,10,FINDER_1D,0.7784676551818848,0.3,"{'sigma': 20.4766598727147, 'threshold': 10.0}",6,0.9
39,10,FINDER_1D_loop,1.0639286041259766,0.0,"{'sigma': 13.246150585869849, 'threshold': 10.0}",6,0.9
40,10,dbscan,0.00732874870300293,0.0,[],6,0.9
41,10,OPTICS,15.135734558105469,0.5,[],6,0.7
42,10,CAML_87B144,8.19800591468811,0.3,[],7,0.9
43,10,CAML_07VEJJ,5.147379159927368,1.5,[],7,0.6
44,10,FINDER_1D,0.7266666889190674,0.0,"{'sigma': 9.438131573077246, 'threshold': 10.0}",7,0.9
45,10,FINDER_1D_loop,1.2833542823791504,0.0,"{'sigma': 12.774001020494648, 'threshold': 10.0}",7,0.9
46,10,dbscan,0.008584260940551758,0.0,[],7,0.9
47,10,OPTICS,18.355870962142944,0.1,[],7,0.8
48,10,CAML_87B144,8.500937938690186,0.3,[],8,1.0
49,10,CAML_07VEJJ,5.538464546203613,1.3,[],8,0.7
